epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,409.293,1.10174,0.9397,1.50026,0.94723,0.76388,0.91091,0.5782,1.26357,0.76371,1.71896,0.0011882,0.0011882,0.0011882
43,419.762,1.05791,0.88584,1.47437,0.89538,0.91058,0.91284,0.58627,1.24787,0.66966,1.75315,0.0011684,0.0011684,0.0011684
44,430.674,1.07878,0.91403,1.49203,0.89615,0.87234,0.93698,0.59243,1.35899,0.7069,1.89456,0.0011486,0.0011486,0.0011486
45,442.528,1.08103,0.92082,1.50596,0.94912,0.79396,0.92724,0.56722,1.27974,0.75222,1.77898,0.0011288,0.0011288,0.0011288
46,455.64,1.12147,0.9412,1.54444,0.88185,0.82979,0.87888,0.57913,1.29471,0.77854,1.85167,0.001109,0.001109,0.001109
47,469.078,1.07885,0.89496,1.49547,0.91185,0.8805,0.92043,0.57748,1.263,0.70177,1.75369,0.0010892,0.0010892,0.0010892
48,481.14,1.03332,0.87896,1.47071,0.96529,0.85106,0.92558,0.57872,1.26429,0.67216,1.76289,0.0010694,0.0010694,0.0010694
49,492.419,0.9927,0.84318,1.44821,0.80804,0.91489,0.90828,0.60543,1.24983,0.77059,1.72092,0.0010496,0.0010496,0.0010496
50,504.285,1.0611,0.88136,1.47241,0.96663,0.89362,0.94457,0.58382,1.26529,0.70297,1.73439,0.0010298,0.0010298,0.0010298
51,516.023,1.04717,0.87905,1.45704,0.98505,0.89362,0.94997,0.58781,1.36838,0.75352,1.91191,0.00101,0.00101,0.00101
52,527.392,1.01793,0.84749,1.44206,0.98599,0.91489,0.9719,0.60745,1.30607,0.64374,1.84613,0.0009902,0.0009902,0.0009902
53,540.461,1.03233,0.81878,1.46901,0.91499,0.95745,0.97927,0.57443,1.30044,0.63899,1.81164,0.0009704,0.0009704,0.0009704
54,552.284,0.96279,0.78636,1.41982,0.93362,0.89784,0.92984,0.60693,1.21069,0.83948,1.71774,0.0009506,0.0009506,0.0009506
55,564.18,0.98175,0.81786,1.42748,0.97535,0.91489,0.95026,0.62088,1.19923,0.63277,1.66108,0.0009308,0.0009308,0.0009308
56,575.415,1.00611,0.7958,1.45626,0.93138,0.91489,0.93838,0.59426,1.31629,0.62731,1.79326,0.000911,0.000911,0.000911
57,586.39,1.00004,0.79212,1.44648,0.92903,0.93617,0.94146,0.58128,1.39025,0.68656,1.86921,0.0008912,0.0008912,0.0008912
58,597.521,0.97243,0.80991,1.4218,0.91294,0.91489,0.9263,0.58126,1.31378,0.67744,1.85334,0.0008714,0.0008714,0.0008714
59,609.311,0.98799,0.84236,1.41916,0.95039,0.81532,0.93421,0.57963,1.34617,0.72067,1.85863,0.0008516,0.0008516,0.0008516
60,620.983,0.94579,0.76912,1.40198,0.97583,0.85896,0.97064,0.62881,1.28358,0.64728,1.81285,0.0008318,0.0008318,0.0008318
61,632.923,0.96042,0.78273,1.40821,0.91236,0.88605,0.93383,0.61517,1.24709,0.59764,1.74339,0.000812,0.000812,0.000812
62,644.629,0.9493,0.75201,1.3977,0.9684,0.91489,0.9363,0.63039,1.26961,0.59934,1.72177,0.0007922,0.0007922,0.0007922
63,658.055,0.9545,0.79433,1.40918,0.91805,0.95351,0.96593,0.62964,1.2352,0.61093,1.75517,0.0007724,0.0007724,0.0007724
64,670.059,0.94442,0.7739,1.40203,0.93712,0.95143,0.95752,0.61113,1.24843,0.61311,1.76779,0.0007526,0.0007526,0.0007526
